frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
25,STEI,225,1,-11.85,-11.34,0.0000,-4019,0.1108,0,-25.3,-52.7,0,,CLEAR,-0.132,-6741.346,1.094,1.200,0,0.14024,0.13672,0.14502,0.14558,0.17589,0.15541,0.16353,0.14665,0.16206,0.13698,0.13697,0.11894,0.14185,0.11956,0.12551,0.10607,0.12394,0.09569,0.08569,0.07874,0.09182,0.08145,0.09470,0.05160,0.06320,0.14674,0.13544,0.14420,0.15199,0.15695,0.13455,0.14132,0.15805,0.15484,0.13470,0.13242,0.15099,0.12186,0.14524,0.12119,0.14855,0.14137,0.15589,0.14815,0.15477,0.14125,0.15877,0.13475,0.16407,0.13507
26,STEI,226,1,-13.44,-10.39,0.0000,-8544,0.1109,0,-25.5,-52.1,0,,ADA_OBJEK,-0.120,-8750.605,1.236,1.200,1,0.15575,0.15080,0.14313,0.15347,0.15127,0.14384,0.16607,0.13021,0.16763,0.14228,0.12874,0.12488,0.13671,0.12174,0.12509,0.08978,0.11269,0.11182,0.09611,0.07067,0.10310,0.07451,0.06374,0.04544,0.06374,0.15791,0.12736,0.14138,0.14966,0.14810,0.13584,0.13399,0.13543,0.14320,0.14221,0.13114,0.14599,0.12054,0.15804,0.10035,0.15069,0.11736,0.14275,0.12266,0.15485,0.13135,0.14600,0.13413,0.16321,0.13058
27,STEI,227,1,-12.90,-11.88,0.0000,1951,0.1103,0,-25.6,-52.6,0,,CLEAR,-0.138,2640.327,0.757,1.200,0,0.13478,0.14891,0.13433,0.16263,0.14320,0.15754,0.15798,0.13711,0.14165,0.14143,0.12771,0.11819,0.13398,0.12254,0.11965,0.09188,0.13179,0.08188,0.10085,0.07017,0.08957,0.07096,0.07620,0.06038,0.07011,0.14508,0.13603,0.14845,0.15519,0.14309,0.13701,0.13534,0.15632,0.14028,0.14100,0.11903,0.13352,0.12122,0.13014,0.11923,0.15858,0.14372,0.14548,0.14712,0.13382,0.13676,0.16079,0.13655,0.12810,0.12559
28,STEI,228,1,-12.29,-11.21,0.0000,3753,0.1112,0,-25.3,-52.0,0,,CLEAR,-0.048,6031.069,0.781,1.200,0,0.14329,0.14370,0.13520,0.12874,0.16793,0.15907,0.14502,0.14895,0.16588,0.15823,0.12099,0.11443,0.14176,0.12336,0.12747,0.11326,0.11856,0.09501,0.10466,0.08194,0.10057,0.06734,0.06923,0.05746,0.07441,0.15080,0.13332,0.13628,0.15660,0.13649,0.16446,0.10883,0.15580,0.14309,0.13801,0.12578,0.14705,0.13436,0.13470,0.13000,0.14234,0.11665,0.17461,0.14263,0.17026,0.13447,0.18279,0.13695,0.16046,0.12966
29,STEI,229,1,-14.04,-12.40,0.0000,-2282,0.1107,0,-25.1,-51.7,0,,CLEAR,-0.062,-8478.608,1.072,1.200,0,0.14983,0.14701,0.14902,0.15805,0.17463,0.16811,0.15049,0.15603,0.15663,0.15487,0.15290,0.12876,0.13408,0.13318,0.13031,0.09547,0.11743,0.10035,0.10268,0.09222,0.11422,0.07185,0.09418,0.05906,0.07573,0.13999,0.15144,0.12751,0.16364,0.16069,0.14798,0.13243,0.15138,0.14891,0.13869,0.11196,0.14759,0.12441,0.13638,0.13101,0.14722,0.13910,0.15440,0.13382,0.16524,0.13677,0.15599,0.13117,0.16431,0.13777
30,STEI,230,1,-14.02,-12.83,0.0000,13274,0.1109,0,-25.0,-51.4,0,,CLEAR,-0.022,539.402,0.125,1.200,0,0.14972,0.15910,0.13368,0.16511,0.13482,0.17435,0.15034,0.15468,0.13967,0.17030,0.12839,0.13279,0.14596,0.14130,0.11593,0.10825,0.11968,0.12580,0.09934,0.08786,0.08870,0.08232,0.06295,0.07082,0.07168,0.15589,0.12387,0.15640,0.14924,0.15714,0.12177,0.13658,0.14927,0.16914,0.14501,0.14472,0.13643,0.15395,0.12232,0.15579,0.14371,0.17021,0.15195,0.16229,0.16047,0.13691,0.16384,0.14706,0.16017,0.14180
31,STEI,231,1,-14.47,-13.58,0.0000,13878,0.1106,0,-25.0,-52.1,0,,CLEAR,-0.048,6237.154,0.770,3.124,0,0.15811,0.15084,0.14033,0.16129,0.15359,0.16994,0.14834,0.17929,0.15240,0.15414,0.13136,0.13937,0.15240,0.14608,0.11715,0.11371,0.11628,0.11053,0.08536,0.09397,0.10930,0.09003,0.06521,0.05730,0.08417,0.15091,0.13996,0.15462,0.15702,0.16355,0.15456,0.14697,0.15123,0.14578,0.13319,0.13997,0.15100,0.14619,0.13211,0.14678,0.15983,0.14467,0.15719,0.15621,0.15948,0.14678,0.15572,0.12961,0.15846,0.14076
32,STEI,232,1,-14.60,-11.92,0.0000,-2268,0.1112,0,-25.3,-52.2,0,,CLEAR,0.005,-4801.369,0.583,2.894,0,0.14362,0.14032,0.15717,0.15512,0.14875,0.14945,0.16533,0.15421,0.17114,0.14439,0.14404,0.11919,0.13115,0.11471,0.10288,0.11558,0.13023,0.10175,0.09462,0.07172,0.09653,0.08017,0.08057,0.06322,0.07666,0.14030,0.12915,0.13788,0.15251,0.15906,0.13390,0.11972,0.14808,0.14890,0.14141,0.10855,0.13029,0.12325,0.14721,0.12993,0.16009,0.13182,0.14905,0.13297,0.15480,0.13254,0.16029,0.14948,0.17221,0.13141
33,STEI,233,1,-12.99,-11.06,0.0000,-6233,0.1109,0,-25.3,-52.5,0,,CLEAR,-0.016,-9625.262,1.132,2.867,0,0.13865,0.15234,0.13507,0.15348,0.18784,0.16897,0.15336,0.14589,0.14526,0.14399,0.14157,0.11918,0.14532,0.12359,0.11604,0.09336,0.12308,0.09852,0.09661,0.08199,0.09935,0.07678,0.06083,0.04234,0.07312,0.13731,0.13289,0.13395,0.15851,0.15022,0.14102,0.12509,0.14174,0.12675,0.13109,0.11794,0.14090,0.14322,0.14375,0.13874,0.15452,0.12160,0.14549,0.12657,0.16182,0.14966,0.16601,0.14118,0.14454,0.13820
34,STEI,234,1,-13.19,-12.22,0.0000,7866,0.1110,0,-25.5,-52.0,0,,CLEAR,0.000,889.454,0.099,2.894,0,0.13442,0.14741,0.14377,0.14837,0.15592,0.16204,0.15695,0.15225,0.16227,0.15138,0.12757,0.12072,0.14539,0.12266,0.12420,0.10093,0.10735,0.10721,0.07989,0.08339,0.09002,0.08152,0.05528,0.06519,0.07504,0.15475,0.12705,0.13531,0.14696,0.14524,0.15178,0.13590,0.13919,0.13659,0.13899,0.12654,0.14193,0.13484,0.13511,0.12372,0.15817,0.12960,0.14092,0.13564,0.16661,0.13332,0.14399,0.12263,0.14850,0.14610
