frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
21,STEI,120,1,-11.99,-12.74,0.0000,-13126,0.1113,0,-25.2,-52.0,0,,CLEAR,-0.166,6250.456,0.976,1.200,0,0.14583,0.14582,0.14975,0.15522,0.16999,0.14666,0.17368,0.14629,0.17029,0.12936,0.16933,0.13347,0.13712,0.11914,0.12708,0.10258,0.10321,0.09714,0.09744,0.08499,0.09293,0.07019,0.07897,0.06376,0.06481,0.12656,0.14266,0.14022,0.14542,0.13250,0.14408,0.13275,0.13809,0.13179,0.14427,0.11982,0.14905,0.12615,0.14072,0.11751,0.14842,0.14578,0.16213,0.13958,0.16665,0.13373,0.16749,0.12016,0.16545,0.11311
22,STEI,121,1,-15.42,-13.65,0.0000,1966,0.1114,0,-25.1,-52.1,0,,CLEAR,-0.147,-33.195,0.647,1.200,0,0.15822,0.15112,0.14525,0.16368,0.16169,0.14472,0.16514,0.16171,0.15431,0.14940,0.13101,0.12146,0.12041,0.11446,0.11811,0.09847,0.10842,0.10624,0.10928,0.08153,0.08824,0.06808,0.07987,0.06571,0.05541,0.14374,0.14119,0.14266,0.13276,0.14368,0.14040,0.15599,0.14327,0.13212,0.14411,0.12982,0.13877,0.13896,0.15152,0.14832,0.15251,0.13627,0.15561,0.13489,0.15647,0.15160,0.16823,0.14879,0.15388,0.14163
23,STEI,122,1,-13.43,-12.38,0.0000,-10371,0.1114,0,-25.3,-52.4,0,,CLEAR,-0.098,-6521.876,0.924,1.200,0,0.15332,0.16485,0.16683,0.15763,0.15154,0.14968,0.16563,0.14541,0.15786,0.13167,0.14564,0.11492,0.12214,0.11182,0.11907,0.11320,0.09901,0.07574,0.08974,0.08108,0.07810,0.06579,0.08349,0.05776,0.07199,0.13932,0.14230,0.14200,0.14195,0.13995,0.15485,0.12742,0.14691,0.13418,0.14145,0.13817,0.13865,0.12699,0.14719,0.13511,0.13723,0.12665,0.15910,0.12819,0.14348,0.14026,0.15026,0.13245,0.17872,0.13300
24,STEI,123,1,-12.46,-12.53,0.0000,2171,0.1112,0,-25.5,-52.4,0,,CLEAR,-0.062,1003.394,0.331,1.200,0,0.15682,0.14255,0.16156,0.14259,0.15305,0.15102,0.16822,0.15829,0.13389,0.13510,0.15771,0.12836,0.12158,0.10216,0.11625,0.09007,0.11408,0.08652,0.10010,0.07034,0.08839,0.07285,0.07532,0.04911,0.07180,0.14866,0.13695,0.14392,0.13325,0.13842,0.15771,0.13511,0.14470,0.12782,0.14402,0.12438,0.13845,0.14630,0.13597,0.13650,0.14449,0.13509,0.14032,0.12217,0.14981,0.13214,0.15239,0.13164,0.17005,0.11283
25,STEI,124,1,-12.45,-11.22,0.0000,-8400,0.1116,0,-25.7,-51.9,0,,CLEAR,-0.034,-7152.435,0.876,1.200,0,0.14388,0.15380,0.15784,0.15792,0.14186,0.14336,0.16628,0.14525,0.14237,0.12656,0.12386,0.11904,0.11287,0.11062,0.10580,0.08062,0.10740,0.09189,0.09048,0.06910,0.07785,0.06422,0.07481,0.04941,0.06445,0.14839,0.15264,0.13948,0.14345,0.14268,0.14904,0.13183,0.13723,0.13581,0.12104,0.13417,0.13528,0.11792,0.14981,0.10881,0.14948,0.12236,0.15433,0.13388,0.14663,0.13499,0.16610,0.11486,0.15272,0.12858
26,STEI,125,1,-12.22,-11.37,0.0000,-6658,0.1114,0,-25.5,-52.1,0,,CLEAR,-0.043,5150.499,0.642,1.200,0,0.13537,0.14484,0.16271,0.14174,0.14921,0.14496,0.14568,0.14285,0.16628,0.14856,0.13619,0.11223,0.12769,0.09257,0.10463,0.09683,0.11020,0.08220,0.09491,0.07338,0.08244,0.05529,0.06519,0.06366,0.06688,0.14284,0.12716,0.12997,0.14361,0.15050,0.13954,0.13858,0.14722,0.13474,0.13587,0.13988,0.13575,0.14151,0.15386,0.12806,0.13658,0.13135,0.14904,0.14967,0.15170,0.13537,0.15885,0.11861,0.15936,0.13249
27,STEI,126,1,-12.98,-13.49,0.0000,-1929,0.1118,0,-25.3,-52.8,0,,CLEAR,-0.011,3884.890,0.470,1.200,0,0.14668,0.16277,0.15267,0.13566,0.15836,0.14145,0.14455,0.15024,0.13703,0.15360,0.15028,0.10765,0.12969,0.12586,0.11302,0.10492,0.11225,0.08837,0.10649,0.10227,0.09007,0.07288,0.07155,0.05794,0.08103,0.12661,0.14471,0.13711,0.15103,0.15125,0.15143,0.14633,0.15720,0.12587,0.15295,0.14220,0.14601,0.13160,0.13949,0.14776,0.17046,0.12224,0.15876,0.12740,0.16272,0.13373,0.15369,0.14898,0.15856,0.11905
28,STEI,127,1,-14.73,-12.99,0.0000,-2242,0.1117,0,-25.2,-52.3,0,,CLEAR,-0.009,6021.026,0.742,1.200,0,0.13959,0.16698,0.15543,0.16445,0.15659,0.15530,0.16464,0.15285,0.15307,0.14711,0.14493,0.12150,0.14442,0.11076,0.12132,0.10638,0.12075,0.09477,0.09241,0.06790,0.08970,0.06987,0.06954,0.06776,0.06118,0.14193,0.14390,0.14386,0.15698,0.15519,0.14430,0.14767,0.15455,0.14170,0.14291,0.12868,0.15332,0.13368,0.13594,0.12841,0.14413,0.13755,0.15853,0.13573,0.15192,0.12273,0.15577,0.14245,0.15475,0.13827
29,STEI,128,1,-12.98,-13.34,0.0000,-4067,0.1113,0,-25.3,-52.2,0,,CLEAR,-0.040,6419.935,0.818,1.200,0,0.13249,0.15910,0.14795,0.14194,0.15734,0.15457,0.13629,0.16925,0.16661,0.14382,0.13999,0.12900,0.12373,0.12095,0.10731,0.12325,0.10759,0.09590,0.09546,0.08174,0.08079,0.07238,0.08569,0.05408,0.05630,0.13672,0.13075,0.13966,0.15715,0.15892,0.13984,0.13943,0.12252,0.14319,0.13960,0.13302,0.14229,0.14168,0.15999,0.13852,0.14558,0.13398,0.14791,0.14717,0.16542,0.13321,0.14930,0.13034,0.14768,0.15198
30,STEI,129,1,-12.91,-12.30,0.0000,-11080,0.1115,0,-25.4,-52.4,0,,CLEAR,-0.021,-8795.825,1.096,1.200,0,0.15472,0.13467,0.14399,0.16063,0.16401,0.14053,0.14046,0.14016,0.13914,0.13849,0.14076,0.12843,0.14172,0.11922,0.11573,0.09880,0.10642,0.10978,0.09207,0.08214,0.08320,0.07116,0.08183,0.06740,0.06903,0.13506,0.14722,0.14122,0.14922,0.14772,0.15647,0.13891,0.14813,0.13106,0.15602,0.12340,0.15273,0.12338,0.15406,0.13033,0.15156,0.12107,0.14705,0.12900,0.16543,0.13648,0.15671,0.13442,0.15626,0.13888
